Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,July,07/12/2024,fairyloot,Bills & Utilities,34.9,Credit,BofA,Custom Cash
2024,July,07/05/2024,fairyloot,Bills & Utilities,-34.9,Credit,BofA,Custom Cash
