Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,July,07/15/2024,transfer,transfer,-942.4,Debit,BofA,Savings
2024,July,07/22/2024,fee,cash,8.0,Debit,BofA,Savings
2024,July,07/22/2024,withdrawal,cash,-315.0,Debit,BofA,Savings
2024,July,07/23/2024,transfer,transfer,0.15,Debit,BofA,Savings
2024,July,07/23/2024,transfer,transfer,0.14,Debit,BofA,Savings
2024,July,07/23/2024,transfer,transfer,-0.29,Debit,BofA,Savings
2024,July,07/25/2024,zelle,cash,-47.95,Debit,BofA,Savings
2024,July,07/29/2024,transfer,transfer,500.0,Debit,BofA,Savings
2024,July,07/31/2024,zelle,cash,6.5,Debit,BofA,Savings
2024,August,08/07/2024,interest,cash,0.01,Debit,BofA,Savings
