Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2023,August,08/10/2023,interest,cash,0.05,Debit,BofA,Savings
2023,August,08/16/2023,deposit,cash,2037.0,Debit,BofA,Savings
2023,August,08/21/2023,deposit,cash,231.0,Debit,BofA,Savings
2023,August,08/23/2023,deposit,cash,2578.59,Debit,BofA,Savings
2023,August,08/23/2023,deposit,cash,389.14,Debit,BofA,Savings
2023,August,08/24/2023,zelle,cash,30.0,Debit,BofA,Savings
2023,August,08/29/2023,transfer,transfer,-5265.84,Debit,BofA,Savings
2023,August,08/30/2023,deposit,cash,440.0,Debit,BofA,Savings
2023,August,08/30/2023,withdrawal,cash,-40.0,Debit,BofA,Savings
2023,September,09/01/2023,transfer,transfer,-400.0,Debit,BofA,Savings
2023,September,09/06/2023,interest,cash,0.05,Debit,BofA,Savings
