Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,April,04/08/2024,zelle,cash,662.0,Debit,BofA,Savings
2024,April,04/22/2024,zelle,cash,1000.0,Debit,BofA,Savings
2024,April,04/29/2024,zelle,cash,-1.02,Debit,BofA,Savings
2024,April,04/29/2024,zelle,cash,-449.0,Debit,BofA,Savings
2024,April,04/29/2024,zelle,cash,-100.0,Debit,BofA,Savings
2024,May,05/01/2024,zelle,cash,100.0,Debit,BofA,Savings
2024,May,05/02/2024,interest,cash,89.0,Debit,BofA,Savings
2024,May,05/02/2024,transfer,transfer,-1434.02,Debit,BofA,Savings
2024,May,05/07/2024,interest,cash,0.01,Debit,BofA,Savings
