Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2023,November,11/22/2023,pg&e,Bills & Utilities,-31.07,Credit,BofA,Custom Cash
2023,November,11/20/2023,costco,grocery,-47.91,Credit,BofA,Custom Cash
2023,November,11/20/2023,transfer,transfer,864.22,Credit,BofA,Custom Cash
2023,November,11/11/2023,xfinity mobile,Bills & Utilities,-78.1,Credit,BofA,Custom Cash
2023,November,11/09/2023,xfinity internet,Bills & Utilities,-12.0,Credit,BofA,Custom Cash
2023,November,11/07/2023,pge,Bills & Utilities,-56.2,Credit,BofA,Custom Cash
2023,November,11/06/2023,fairyloot,Bills & Utilities,-34.9,Credit,BofA,Custom Cash
2023,October,10/27/2023,xfinity mobile,Bills & Utilities,-16.87,Credit,BofA,Custom Cash
