Year,Month,Date,Description,Category,Amount,Account,Bank,Card
,,,amazon prime,Bills & Utilities,-7.5,Credit,Chase,Amazon
,,,doordash,Restaurant,-9.71,Credit,Chase,Amazon
,,,amazon,Shopping,-48.6,Credit,Chase,Amazon
,,,costco,grocery,-39.88,Credit,Chase,Amazon
,,,dollar tree,Shopping,-8.75,Credit,Chase,Amazon
,,,amazon,Shopping,35.45,Credit,Chase,Amazon
,,,amazon,Shopping,45.0,Credit,Chase,Amazon
,,,office depot,Shopping,-26.19,Credit,Chase,Amazon
,,,costco,grocery,-52.36,Credit,Chase,Amazon
,,,costco,grocery,-226.32,Credit,Chase,Amazon
,,,doordash,Restaurant,-22.9,Credit,Chase,Amazon
,,,bath & body works,Shopping,-42.9,Credit,Chase,Amazon
,,,safeway,Groceries,-7.99,Credit,Chase,Amazon
,,,costco,grocery,-43.25,Credit,Chase,Amazon
,,,costco,grocery,-115.67,Credit,Chase,Amazon
,,,mud bay,Shopping,-24.48,Credit,Chase,Amazon
,,,tj maxx,Shopping,-18.97,Credit,Chase,Amazon
,,,mud bay,Shopping,-49.96,Credit,Chase,Amazon
,,,safeway,Groceries,-4.99,Credit,Chase,Amazon
,,,costco,grocery,-40.76,Credit,Chase,Amazon
,,,grid bar & grill,Restaurant,-54.51,Credit,Chase,Amazon
,,,costco,grocery,-53.46,Credit,Chase,Amazon
,,,in n out,Restaurant,-17.62,Credit,Chase,Amazon
,,,dsw shoes,Shopping,-27.57,Credit,Chase,Amazon
,,,safeway,Groceries,-61.24,Credit,Chase,Amazon
,,,costco,grocery,-25.72,Credit,Chase,Amazon
,,,coursera,Bills & Utilities,49.0,Credit,Chase,Amazon
,,,home depot,Shopping,-26.5,Credit,Chase,Amazon
,,,home depot,Shopping,-48.93,Credit,Chase,Amazon
,,,coursera,Bills & Utilities,49.0,Credit,Chase,Amazon
,,,in n out,Restaurant,-20.26,Credit,Chase,Amazon
,,,standard plumbing,Shopping,-21.55,Credit,Chase,Amazon
,,,u-haul,Shopping,12.0,Credit,Chase,Amazon
,,,u-haul,Shopping,7.0,Credit,Chase,Amazon
,,,costco,grocery,-53.72,Credit,Chase,Amazon
,,,u-haul,Shopping,-7.0,Credit,Chase,Amazon
,,,costco,grocery,-33.81,Credit,Chase,Amazon
,,,costco,grocery,-4.48,Credit,Chase,Amazon
,,,coursera,Bills & Utilities,-49.0,Credit,Chase,Amazon
,,,u-haul,Shopping,-13.95,Credit,Chase,Amazon
,,,robnett's hardware,Restaurant,-5.49,Credit,Chase,Amazon
,,,taste of sichuan,Restaurant,-53.85,Credit,Chase,Amazon
,,,wisecracks,Restaurant,-36.98,Credit,Chase,Amazon
,,,dutch bros,Restaurant,-5.45,Credit,Chase,Amazon
,,,u-haul,Shopping,-90.0,Credit,Chase,Amazon
,,,fedex,Shopping,-14.66,Credit,Chase,Amazon
,,,walmart,Restaurant,-3.48,Credit,Chase,Amazon
,,,amazon,Shopping,-30.99,Credit,Chase,Amazon
,,,amazon,Shopping,-16.94,Credit,Chase,Amazon
,,,fedex,Shopping,-4.99,Credit,Chase,Amazon
,,,bucherbuchse,Shopping,-92.19,Credit,Chase,Amazon
,,,costco,grocery,-43.87,Credit,Chase,Amazon
,,,costco,grocery,-27.48,Credit,Chase,Amazon
,,,costco,grocery,-9.95,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-7.5,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-4.78,Credit,Chase,Amazon
,,,transfer,transfer,1285.22,Credit,Chase,Amazon
,,,inkwell,Shopping,-11.45,Credit,Chase,Amazon
,,,sugoi sushi,Restaurant,-32.0,Credit,Chase,Amazon
,,,transfer,transfer,671.19,Credit,Chase,Amazon
,,,safeway,Groceries,-9.71,Credit,Chase,Amazon
,,,amazon,Shopping,-42.94,Credit,Chase,Amazon
,,,mcmenamins,Restaurant,-62.35,Credit,Chase,Amazon
,,,costco,grocery,-20.19,Credit,Chase,Amazon
,,,amazon,Shopping,-35.45,Credit,Chase,Amazon
,,,international market,Groceries,-6.98,Credit,Chase,Amazon
,,,amazon,Shopping,-45.0,Credit,Chase,Amazon
,,,steam,Shopping,-14.99,Credit,Chase,Amazon
,,,walmart,Restaurant,-15.73,Credit,Chase,Amazon
,,,safeway,Groceries,-4.99,Credit,Chase,Amazon
,,,rite aid,Shopping,-39.99,Credit,Chase,Amazon
,,,costco,grocery,-42.28,Credit,Chase,Amazon
,,,dutch bros,Restaurant,-8.45,Credit,Chase,Amazon
,,,costco,grocery,-120.0,Credit,Chase,Amazon
,,,costco,grocery,-17.88,Credit,Chase,Amazon
,,,matt & mandy's family diner,Restaurant,-32.92,Credit,Chase,Amazon
,,,dutch bros,Restaurant,-14.5,Credit,Chase,Amazon
,,,steam,Shopping,-15.88,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-1.0,Credit,Chase,Amazon
,,,dutch bros,Restaurant,-4.45,Credit,Chase,Amazon
,,,kia,Shopping,-380.84,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-7.5,Credit,Chase,Amazon
,,,marriott,Shopping,-10.0,Credit,Chase,Amazon
,,,doordash,Restaurant,-9.27,Credit,Chase,Amazon
,,,pdx sliders,Restaurant,-59.2,Credit,Chase,Amazon
,,,standford's restaurant,Restaurant,-175.22,Credit,Chase,Amazon
,,,space needle,Shopping,-9.91,Credit,Chase,Amazon
,,,goodwill,Shopping,-14.33,Credit,Chase,Amazon
,,,goodwill,Shopping,-19.82,Credit,Chase,Amazon
,,,piroshky piroshky,Restaurant,-31.01,Credit,Chase,Amazon
,,,funko,Shopping,-61.48,Credit,Chase,Amazon
,,,funko,Shopping,-61.56,Credit,Chase,Amazon
,,,rice & spice,Groceries,-12.83,Credit,Chase,Amazon
,,,wisecracks,Restaurant,-42.43,Credit,Chase,Amazon
,,,cannon beach hardware,Restaurant,-20.51,Credit,Chase,Amazon
,,,golden age collectables,Shopping,-9.91,Credit,Chase,Amazon
,,,tillamook,Restaurant,-13.0,Credit,Chase,Amazon
,,,kings cleaner,Shopping,-54.0,Credit,Chase,Amazon
,,,jamba juice,Restaurant,-3.89,Credit,Chase,Amazon
,,,chase travel,Shopping,-161.9,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-12.99,Credit,Chase,Amazon
,,,personal touch car wash,Shopping,-16.0,Credit,Chase,Amazon
,,,in n out,Restaurant,-14.4,Credit,Chase,Amazon
,,,subway,Restaurant,-7.39,Credit,Chase,Amazon
,,,amazon,Shopping,-17.15,Credit,Chase,Amazon
,,,grub,Restaurant,-24.12,Credit,Chase,Amazon
,,,prime video,Shopping,5.99,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-1.39,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-4.3,Credit,Chase,Amazon
,,,ikenohana,Restaurant,-61.45,Credit,Chase,Amazon
,,,prime video,Shopping,-5.99,Credit,Chase,Amazon
,,,amazon,Shopping,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-21.99,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-7.5,Credit,Chase,Amazon
