Year,Month,Date,Description,Category,Amount,Account,Bank,Card
,,,nomad leather,Shopping,-55.0,Credit,Chase,Amazon
,,,nectar froyo,Restaurant,-8.84,Credit,Chase,Amazon
,,,lowes,Shopping,-18.86,Credit,Chase,Amazon
,,,theater,Shopping,-40.0,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-5.75,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-1.49,Credit,Chase,Amazon
,,,amazon,Shopping,-14.75,Credit,Chase,Amazon
,,,safeway,Groceries,-21.46,Credit,Chase,Amazon
,,,safeway,Groceries,-7.88,Credit,Chase,Amazon
,,,paxton gate,Shopping,-5.0,Credit,Chase,Amazon
,,,paper source,Shopping,-17.45,Credit,Chase,Amazon
,,,safeway,Groceries,-26.63,Credit,Chase,Amazon
,,,pelican brewing,Restaurant,-76.57,Credit,Chase,Amazon
,,,the medow,Shopping,-37.0,Credit,Chase,Amazon
,,,usps,Shopping,-12.19,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-4.65,Credit,Chase,Amazon
,,,the knock back,Restaurant,-9.0,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-34.9,Credit,Chase,Amazon
,,,urbanite,Shopping,-15.0,Credit,Chase,Amazon
,,,salt and pepper,Restaurant,-107.8,Credit,Chase,Amazon
,,,safeway,Groceries,-6.43,Credit,Chase,Amazon
,,,safeway,Groceries,-30.37,Credit,Chase,Amazon
,,,amazon,Shopping,-25.63,Credit,Chase,Amazon
,,,tea & tea,Restaurant,-14.0,Credit,Chase,Amazon
,,,chipotle,Restaurant,-19.6,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-5.85,Credit,Chase,Amazon
,,,amazon,Shopping,-12.48,Credit,Chase,Amazon
,,,new seasons,Groceries,-1.84,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-1.49,Credit,Chase,Amazon
,,,amazon,Shopping,-53.98,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-6.99,Credit,Chase,Amazon
,,,bubble n tea,Restaurant,-6.0,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,pho van,Restaurant,-59.85,Credit,Chase,Amazon
,,,osu store,Shopping,-75.0,Credit,Chase,Amazon
,,,transfer,transfer,1269.96,Credit,Chase,Amazon
,,,fred meyer,Groceries,-37.18,Credit,Chase,Amazon
,,,adidas,Shopping,-440.0,Credit,Chase,Amazon
,,,maiale rose wood pizza,Restaurant,-52.8,Credit,Chase,Amazon
,,,bubble n tea,Restaurant,-6.0,Credit,Chase,Amazon
,,,fred meyer,Groceries,-22.25,Credit,Chase,Amazon
